Id;sex;slh;hrd;age;cw;day;hum
   1;1;3;5;399;285;30; 0,2
   2;1;1;1;412;280;14;-0,1
   3;1;3;5;405;296;21; 0,5
   4;1;3;1;399;268;20; 0,7
   5;1;2;3;404;311;28; 0,7
   6;1;3;1;421;287;13; 0,6
   7;1;1;4;399;334;13;-0,3
   8;1;3;1;399;273;21;-0,7
   9;1;3;2;410;384;16;-3,3
  10;1;2;1;397;285; 8;-0,5
  51;2;3;4;394;260;22; 0,3
  52;2;3;3;402;216;21; 1,9
  53;2;1;4;395;253;24; 0,8
  54;2;2;1;400;220;27;-1,1
  55;2;3;2;391;274;29;-2,1
  56;2;2;2;405;305; 1;-0,6
  57;2;1;5;394;221;16; 0,1
  58;2;1;5;412;224;17; 0,2
  59;2;1;5;403;214;17;-1,2
  60;2;3;3;397;213;14; 1,0
  61;2;3;5;396;215;19;-1,7
  62;2;1;2;398;291;11;-0,4
  63;2;2;5;402;251; 5; 1,4
  64;2;2;4;405;283;14; 0,7
  65;2;3;5;393;225; 5; 0,5
  66;2;3;4;404;261;10; 0,7
  67;2;3;4;404;259;16;-0,2
  68;2;3;5;395;215;21;-0,4
  69;2;2;4;404;277;11; 0,1
  70;2;3;2;404;292;21; 1,9
  71;2;2;5;396;245;24;-0,8
  72;2;3;3;394;204;30;-1,0
  73;2;1;1;391;195;17;-0,6
  74;2;1;2;404;296;30; 0,4
  75;2;1;2;390;282; 2; 1,7
  11;2;1;3;401;215;26; 1,1
  12;2;3;5;403;213;10; 1,1
  13;2;1;1;400;193; 7;-0,1
  14;2;3;2;406;293; 9; 0,2
  15;2;1;1;392;209;10; 0,5
  16;2;1;1;388;197; 7; 2,1
  17;2;1;1;397;199;16; 0,8
  18;2;3;5;390;217; 1; 0,7
  19;2;2;5;392;228; 4; 2,3
  20;2;1;4;413;262;17;-0,8
  21;2;1;5;399;214;13;-0,3
  22;2;1;2;387;295; 7;-0,5
  23;2;2;1;397;208;20;-1,4
  24;2;3;2;394;292; 7;-2,0
  25;2;2;4;397;267;16;-0,1
  26;1;3;5;404;295;11;-1,1
  27;1;2;4;406;350;26;-0,1
  28;1;2;3;402;306;10;-0,8
  29;1;3;5;409;309;19; 1,4
  30;1;2;2;394;383; 7;-0,3
  31;1;3;3;400;270;26;-0,2
  32;1;2;4;402;355; 8; 0,2
  33;1;1;1;397;268;30;-1,3
  34;1;1;4;399;326;25; 0,2
  35;1;1;2;399;360;28;-0,9
  36;1;2;4;395;352;24; 1,3
  37;1;3;4;398;332; 2; 0,0
  38;1;1;1;397;260;14; 0,3
  39;1;3;3;404;292;30;-0,7
  40;1;2;2;400;385;22;-0,9
  41;1;2;2;414;384;15;-0,4
  42;1;2;1;394;276;26; 1,2
  43;1;2;1;401;285;29; 0,0
  44;1;1;5;393;290;10;-0,3
  45;1;1;5;403;300; 8; 1,1
  46;1;2;2;405;386; 4;-0,1
  47;1;2;2;401;382;24;-1,1
  48;1;2;1;406;297; 1; 1,2
  49;1;2;1;401;295;28; 0,5
  50;1;3;4;392;323;15; 1,4
 301;2;1;3;411;213;22; 0,3
 302;2;2;1;405;216;20; 0,9
